Starting Training Loop...
[49/100][0/13]	Loss_D: 0.5903	Loss_G: 2.2927	D(x): 0.6133	D(G(z)): 0.0321 / 0.1350
[50/100][0/13]	Loss_D: 0.3047	Loss_G: 3.0805	D(x): 0.8202	D(G(z)): 0.0812 / 0.0616
[51/100][0/13]	Loss_D: 0.4300	Loss_G: 4.4815	D(x): 0.8937	D(G(z)): 0.2439 / 0.0172
[52/100][0/13]	Loss_D: 0.5988	Loss_G: 7.3621	D(x): 0.9501	D(G(z)): 0.3612 / 0.0014
[53/100][0/13]	Loss_D: 0.8597	Loss_G: 5.6449	D(x): 0.9653	D(G(z)): 0.4960 / 0.0070
[54/100][0/13]	Loss_D: 0.4119	Loss_G: 3.5889	D(x): 0.8911	D(G(z)): 0.2228 / 0.0389
[55/100][0/13]	Loss_D: 0.4445	Loss_G: 2.5016	D(x): 0.7218	D(G(z)): 0.0783 / 0.1024
[56/100][0/13]	Loss_D: 1.2303	Loss_G: 8.3617	D(x): 0.9798	D(G(z)): 0.6462 / 0.0007
[57/100][0/13]	Loss_D: 0.4774	Loss_G: 4.9023	D(x): 0.9148	D(G(z)): 0.2851 / 0.0102
[58/100][0/13]	Loss_D: 0.6798	Loss_G: 1.4444	D(x): 0.5784	D(G(z)): 0.0453 / 0.2863
[59/100][0/13]	Loss_D: 0.6765	Loss_G: 5.2471	D(x): 0.9277	D(G(z)): 0.4127 / 0.0085
[60/100][0/13]	Loss_D: 1.5595	Loss_G: 0.7235	D(x): 0.2673	D(G(z)): 0.0125 / 0.5497
[61/100][0/13]	Loss_D: 0.7941	Loss_G: 6.5656	D(x): 0.8820	D(G(z)): 0.4378 / 0.0027
[62/100][0/13]	Loss_D: 0.5530	Loss_G: 4.8956	D(x): 0.9548	D(G(z)): 0.3635 / 0.0105
[63/100][0/13]	Loss_D: 0.7164	Loss_G: 2.8925	D(x): 0.5364	D(G(z)): 0.0137 / 0.0937
[64/100][0/13]	Loss_D: 0.2866	Loss_G: 3.7088	D(x): 0.8021	D(G(z)): 0.0511 / 0.0359
[65/100][0/13]	Loss_D: 0.5762	Loss_G: 2.8524	D(x): 0.6144	D(G(z)): 0.0183 / 0.0886
[66/100][0/13]	Loss_D: 0.9861	Loss_G: 1.1902	D(x): 0.4613	D(G(z)): 0.0646 / 0.3667
[67/100][0/13]	Loss_D: 0.6349	Loss_G: 5.4019	D(x): 0.9087	D(G(z)): 0.3645 / 0.0069
[68/100][0/13]	Loss_D: 0.3554	Loss_G: 3.3763	D(x): 0.8258	D(G(z)): 0.1300 / 0.0501
[69/100][0/13]	Loss_D: 0.3950	Loss_G: 3.3797	D(x): 0.7182	D(G(z)): 0.0407 / 0.0503
[70/100][0/13]	Loss_D: 1.3984	Loss_G: 0.9949	D(x): 0.3001	D(G(z)): 0.0181 / 0.4572
[71/100][0/13]	Loss_D: 0.7498	Loss_G: 5.5353	D(x): 0.9336	D(G(z)): 0.4385 / 0.0059
[72/100][0/13]	Loss_D: 0.3528	Loss_G: 3.1129	D(x): 0.8319	D(G(z)): 0.1370 / 0.0608
[73/100][0/13]	Loss_D: 0.3662	Loss_G: 3.4699	D(x): 0.8513	D(G(z)): 0.1702 / 0.0397
[74/100][0/13]	Loss_D: 1.5439	Loss_G: 9.4219	D(x): 0.9893	D(G(z)): 0.7292 / 0.0002
[75/100][0/13]	Loss_D: 0.4596	Loss_G: 2.9015	D(x): 0.7415	D(G(z)): 0.1110 / 0.0836
[76/100][0/13]	Loss_D: 0.4628	Loss_G: 4.6981	D(x): 0.9484	D(G(z)): 0.3088 / 0.0121
[77/100][0/13]	Loss_D: 0.3054	Loss_G: 4.0426	D(x): 0.9266	D(G(z)): 0.1871 / 0.0245
[78/100][0/13]	Loss_D: 0.3381	Loss_G: 2.7179	D(x): 0.8185	D(G(z)): 0.1111 / 0.0876
[79/100][0/13]	Loss_D: 0.3364	Loss_G: 2.9470	D(x): 0.7768	D(G(z)): 0.0618 / 0.0758
[80/100][0/13]	Loss_D: 0.3229	Loss_G: 4.5461	D(x): 0.9304	D(G(z)): 0.1990 / 0.0156
[81/100][0/13]	Loss_D: 0.5625	Loss_G: 3.5282	D(x): 0.7252	D(G(z)): 0.1424 / 0.0480
[82/100][0/13]	Loss_D: 0.5584	Loss_G: 4.3954	D(x): 0.8492	D(G(z)): 0.2897 / 0.0176
[83/100][0/13]	Loss_D: 0.2373	Loss_G: 3.9941	D(x): 0.9440	D(G(z)): 0.1524 / 0.0266
[84/100][0/13]	Loss_D: 0.2535	Loss_G: 3.6311	D(x): 0.8764	D(G(z)): 0.1024 / 0.0388
[85/100][0/13]	Loss_D: 0.2645	Loss_G: 3.0186	D(x): 0.8728	D(G(z)): 0.1090 / 0.0599
[86/100][0/13]	Loss_D: 1.6674	Loss_G: 1.1625	D(x): 0.2482	D(G(z)): 0.0023 / 0.3810
[87/100][0/13]	Loss_D: 0.3743	Loss_G: 3.7029	D(x): 0.8861	D(G(z)): 0.1951 / 0.0387
[88/100][0/13]	Loss_D: 0.3654	Loss_G: 4.8997	D(x): 0.9326	D(G(z)): 0.2311 / 0.0104
[89/100][0/13]	Loss_D: 0.2627	Loss_G: 3.2612	D(x): 0.8337	D(G(z)): 0.0687 / 0.0515
[90/100][0/13]	Loss_D: 0.2082	Loss_G: 3.7503	D(x): 0.9019	D(G(z)): 0.0934 / 0.0339
[91/100][0/13]	Loss_D: 0.3039	Loss_G: 4.7315	D(x): 0.9649	D(G(z)): 0.2193 / 0.0116
[92/100][0/13]	Loss_D: 0.6658	Loss_G: 6.0425	D(x): 0.9914	D(G(z)): 0.4311 / 0.0039
[93/100][0/13]	Loss_D: 0.6749	Loss_G: 6.3591	D(x): 0.9916	D(G(z)): 0.4254 / 0.0027
[94/100][0/13]	Loss_D: 0.2355	Loss_G: 4.6004	D(x): 0.8989	D(G(z)): 0.1092 / 0.0156
[95/100][0/13]	Loss_D: 0.2914	Loss_G: 2.8539	D(x): 0.8392	D(G(z)): 0.0991 / 0.0791
[96/100][0/13]	Loss_D: 0.2579	Loss_G: 3.4620	D(x): 0.8788	D(G(z)): 0.1133 / 0.0400
[97/100][0/13]	Loss_D: 0.3475	Loss_G: 4.6602	D(x): 0.9614	D(G(z)): 0.2359 / 0.0132
[98/100][0/13]	Loss_D: 0.2386	Loss_G: 2.5369	D(x): 0.8377	D(G(z)): 0.0500 / 0.1129
[99/100][0/13]	Loss_D: 0.5336	Loss_G: 4.3965	D(x): 0.8832	D(G(z)): 0.2985 / 0.0176
