Starting Training Loop...
[0/250][0/13]	Loss_D: 1.7296	Loss_G: 5.6899	D(x): 0.5654	D(G(z)): 0.5849 / 0.0058
[1/250][0/13]	Loss_D: 0.2868	Loss_G: 13.7201	D(x): 0.9692	D(G(z)): 0.1947 / 0.0000
[2/250][0/13]	Loss_D: 0.0080	Loss_G: 16.8923	D(x): 0.9922	D(G(z)): 0.0000 / 0.0000
[3/250][0/13]	Loss_D: 0.4574	Loss_G: 13.4083	D(x): 0.7666	D(G(z)): 0.0000 / 0.0000
[4/250][0/13]	Loss_D: 0.1205	Loss_G: 4.7953	D(x): 0.9927	D(G(z)): 0.1020 / 0.0117
[5/250][0/13]	Loss_D: 0.1479	Loss_G: 4.1005	D(x): 0.9166	D(G(z)): 0.0407 / 0.0273
[6/250][0/13]	Loss_D: 2.1180	Loss_G: 1.9714	D(x): 0.2327	D(G(z)): 0.0336 / 0.2117
[7/250][0/13]	Loss_D: 0.6091	Loss_G: 3.4807	D(x): 0.7724	D(G(z)): 0.2228 / 0.0440
[8/250][0/13]	Loss_D: 0.4083	Loss_G: 3.6257	D(x): 0.9028	D(G(z)): 0.2431 / 0.0330
[9/250][0/13]	Loss_D: 0.4055	Loss_G: 5.3864	D(x): 0.8933	D(G(z)): 0.2298 / 0.0057
[10/250][0/13]	Loss_D: 0.2297	Loss_G: 4.3100	D(x): 0.8854	D(G(z)): 0.0944 / 0.0171
[11/250][0/13]	Loss_D: 0.1873	Loss_G: 5.1064	D(x): 0.8977	D(G(z)): 0.0700 / 0.0074
[12/250][0/13]	Loss_D: 0.1965	Loss_G: 3.7773	D(x): 0.8759	D(G(z)): 0.0477 / 0.0321
[13/250][0/13]	Loss_D: 0.3740	Loss_G: 5.0095	D(x): 0.8734	D(G(z)): 0.1770 / 0.0090
[14/250][0/13]	Loss_D: 0.3416	Loss_G: 4.8718	D(x): 0.7592	D(G(z)): 0.0127 / 0.0105
[15/250][0/13]	Loss_D: 0.4168	Loss_G: 6.2301	D(x): 0.9799	D(G(z)): 0.2822 / 0.0049
[16/250][0/13]	Loss_D: 1.2676	Loss_G: 6.1450	D(x): 0.9821	D(G(z)): 0.6549 / 0.0060
[17/250][0/13]	Loss_D: 1.0757	Loss_G: 2.1466	D(x): 0.4262	D(G(z)): 0.0222 / 0.2266
[18/250][0/13]	Loss_D: 0.4764	Loss_G: 3.4717	D(x): 0.8512	D(G(z)): 0.2493 / 0.0404
[19/250][0/13]	Loss_D: 1.3160	Loss_G: 7.4652	D(x): 0.9631	D(G(z)): 0.6652 / 0.0009
[20/250][0/13]	Loss_D: 0.7188	Loss_G: 2.3503	D(x): 0.6205	D(G(z)): 0.1446 / 0.1152
[21/250][0/13]	Loss_D: 0.5442	Loss_G: 2.5551	D(x): 0.6402	D(G(z)): 0.0510 / 0.1014
[22/250][0/13]	Loss_D: 0.4730	Loss_G: 3.1486	D(x): 0.9610	D(G(z)): 0.2949 / 0.0642
[23/250][0/13]	Loss_D: 0.4417	Loss_G: 3.9210	D(x): 0.8701	D(G(z)): 0.2392 / 0.0256
[24/250][0/13]	Loss_D: 0.3404	Loss_G: 2.0964	D(x): 0.7952	D(G(z)): 0.0788 / 0.1560
[25/250][0/13]	Loss_D: 0.1900	Loss_G: 2.6131	D(x): 0.9618	D(G(z)): 0.1340 / 0.1055
[26/250][0/13]	Loss_D: 0.3536	Loss_G: 3.7355	D(x): 0.8586	D(G(z)): 0.1645 / 0.0314
[27/250][0/13]	Loss_D: 0.5937	Loss_G: 1.7888	D(x): 0.6188	D(G(z)): 0.0396 / 0.2027
[28/250][0/13]	Loss_D: 0.2131	Loss_G: 4.0733	D(x): 0.9465	D(G(z)): 0.1425 / 0.0200
[29/250][0/13]	Loss_D: 1.6936	Loss_G: 12.0418	D(x): 0.9958	D(G(z)): 0.7742 / 0.0000
[30/250][0/13]	Loss_D: 0.1984	Loss_G: 4.8963	D(x): 0.9089	D(G(z)): 0.0910 / 0.0098
[31/250][0/13]	Loss_D: 0.4433	Loss_G: 4.9178	D(x): 0.8975	D(G(z)): 0.2460 / 0.0104
[32/250][0/13]	Loss_D: 0.4955	Loss_G: 2.8735	D(x): 0.6741	D(G(z)): 0.0417 / 0.0725
[33/250][0/13]	Loss_D: 1.0073	Loss_G: 3.4649	D(x): 0.4872	D(G(z)): 0.0273 / 0.0750
[34/250][0/13]	Loss_D: 0.4056	Loss_G: 3.1058	D(x): 0.7697	D(G(z)): 0.1015 / 0.0592
[35/250][0/13]	Loss_D: 0.4128	Loss_G: 4.7816	D(x): 0.9344	D(G(z)): 0.2522 / 0.0133
[36/250][0/13]	Loss_D: 0.2924	Loss_G: 3.6992	D(x): 0.8394	D(G(z)): 0.0968 / 0.0326
[37/250][0/13]	Loss_D: 1.2971	Loss_G: 5.3844	D(x): 0.9840	D(G(z)): 0.6406 / 0.0090
[38/250][0/13]	Loss_D: 0.3762	Loss_G: 3.6759	D(x): 0.8622	D(G(z)): 0.1823 / 0.0391
[39/250][0/13]	Loss_D: 0.4718	Loss_G: 3.2490	D(x): 0.7927	D(G(z)): 0.1841 / 0.0502
[40/250][0/13]	Loss_D: 0.8965	Loss_G: 7.1817	D(x): 0.9790	D(G(z)): 0.5332 / 0.0013
[41/250][0/13]	Loss_D: 0.5343	Loss_G: 2.4622	D(x): 0.7415	D(G(z)): 0.1649 / 0.1086
[42/250][0/13]	Loss_D: 0.3678	Loss_G: 2.8781	D(x): 0.8000	D(G(z)): 0.0955 / 0.0707
[43/250][0/13]	Loss_D: 0.4368	Loss_G: 2.9205	D(x): 0.7073	D(G(z)): 0.0552 / 0.0753
[44/250][0/13]	Loss_D: 0.4131	Loss_G: 3.1023	D(x): 0.7345	D(G(z)): 0.0641 / 0.0644
[45/250][0/13]	Loss_D: 0.2541	Loss_G: 4.3623	D(x): 0.9054	D(G(z)): 0.1317 / 0.0190
[46/250][0/13]	Loss_D: 1.2794	Loss_G: 9.4998	D(x): 0.9804	D(G(z)): 0.6626 / 0.0001
[47/250][0/13]	Loss_D: 0.2944	Loss_G: 3.4827	D(x): 0.8363	D(G(z)): 0.0884 / 0.0404
[48/250][0/13]	Loss_D: 0.4703	Loss_G: 3.1547	D(x): 0.8254	D(G(z)): 0.1993 / 0.0616
[49/250][0/13]	Loss_D: 0.3112	Loss_G: 3.9576	D(x): 0.7751	D(G(z)): 0.0321 / 0.0286
[50/250][0/13]	Loss_D: 0.4399	Loss_G: 2.9297	D(x): 0.7541	D(G(z)): 0.1132 / 0.0712
