Starting Training Loop...
[0/500][0/52]	Loss_D: 2.0059	Loss_G: 8.3291	D(x): 0.8242	D(G(z)): 0.7806 / 0.0005
[0/500][50/52]	Loss_D: 0.1540	Loss_G: 6.4698	D(x): 0.9984	D(G(z)): 0.1379 / 0.0018
[1/500][0/52]	Loss_D: 2.1240	Loss_G: 20.6622	D(x): 0.3831	D(G(z)): 0.0000 / 0.0000
[1/500][50/52]	Loss_D: 3.4267	Loss_G: 11.4450	D(x): 0.9873	D(G(z)): 0.9297 / 0.0000
[2/500][0/52]	Loss_D: 0.7599	Loss_G: 2.2278	D(x): 0.7576	D(G(z)): 0.1028 / 0.1825
[2/500][50/52]	Loss_D: 0.1821	Loss_G: 5.3567	D(x): 0.9811	D(G(z)): 0.1427 / 0.0064
[3/500][0/52]	Loss_D: 0.6989	Loss_G: 7.5854	D(x): 0.9881	D(G(z)): 0.4201 / 0.0007
[3/500][50/52]	Loss_D: 0.5380	Loss_G: 3.3982	D(x): 0.6357	D(G(z)): 0.0117 / 0.0459
[4/500][0/52]	Loss_D: 0.1283	Loss_G: 8.9218	D(x): 0.8862	D(G(z)): 0.0021 / 0.0004
[4/500][50/52]	Loss_D: 1.6426	Loss_G: 6.0364	D(x): 0.3550	D(G(z)): 0.0004 / 0.0076
[5/500][0/52]	Loss_D: 3.5293	Loss_G: 10.4339	D(x): 0.9995	D(G(z)): 0.9132 / 0.0012
[5/500][50/52]	Loss_D: 0.7138	Loss_G: 1.5038	D(x): 0.6178	D(G(z)): 0.1382 / 0.2486
[6/500][0/52]	Loss_D: 1.4766	Loss_G: 8.8727	D(x): 0.9669	D(G(z)): 0.6165 / 0.0005
[6/500][50/52]	Loss_D: 0.8593	Loss_G: 3.4978	D(x): 0.7181	D(G(z)): 0.3156 / 0.0351
[7/500][0/52]	Loss_D: 0.9617	Loss_G: 1.5406	D(x): 0.4923	D(G(z)): 0.0335 / 0.4474
[7/500][50/52]	Loss_D: 0.9886	Loss_G: 2.4086	D(x): 0.5360	D(G(z)): 0.0242 / 0.1987
[8/500][0/52]	Loss_D: 0.1598	Loss_G: 10.1829	D(x): 0.8801	D(G(z)): 0.0104 / 0.0017
[8/500][50/52]	Loss_D: 0.4191	Loss_G: 6.1481	D(x): 0.8695	D(G(z)): 0.1443 / 0.0032
[9/500][0/52]	Loss_D: 0.8776	Loss_G: 5.9771	D(x): 0.9793	D(G(z)): 0.4922 / 0.0035
[9/500][50/52]	Loss_D: 0.3471	Loss_G: 3.6628	D(x): 0.8335	D(G(z)): 0.1217 / 0.0316
[10/500][0/52]	Loss_D: 0.2435	Loss_G: 6.8336	D(x): 0.8103	D(G(z)): 0.0054 / 0.0024
[10/500][50/52]	Loss_D: 0.2470	Loss_G: 4.7050	D(x): 0.8990	D(G(z)): 0.1181 / 0.0135
[11/500][0/52]	Loss_D: 0.7812	Loss_G: 6.5635	D(x): 0.9559	D(G(z)): 0.4699 / 0.0023
[11/500][50/52]	Loss_D: 0.5621	Loss_G: 1.8666	D(x): 0.7180	D(G(z)): 0.1289 / 0.2284
[12/500][0/52]	Loss_D: 1.2616	Loss_G: 4.6395	D(x): 0.4019	D(G(z)): 0.0033 / 0.0321
[12/500][50/52]	Loss_D: 0.2536	Loss_G: 3.8421	D(x): 0.8721	D(G(z)): 0.0686 / 0.0451
[13/500][0/52]	Loss_D: 1.8064	Loss_G: 3.9697	D(x): 0.3464	D(G(z)): 0.0028 / 0.0472
[13/500][50/52]	Loss_D: 0.4793	Loss_G: 4.4725	D(x): 0.9264	D(G(z)): 0.3010 / 0.0143
[14/500][0/52]	Loss_D: 1.5046	Loss_G: 7.8612	D(x): 0.9138	D(G(z)): 0.6894 / 0.0005
[14/500][50/52]	Loss_D: 0.2156	Loss_G: 3.0136	D(x): 0.8525	D(G(z)): 0.0377 / 0.0650
[15/500][0/52]	Loss_D: 0.6321	Loss_G: 6.9055	D(x): 0.9723	D(G(z)): 0.4018 / 0.0015
[15/500][50/52]	Loss_D: 0.2449	Loss_G: 3.0816	D(x): 0.8680	D(G(z)): 0.0501 / 0.0888
[16/500][0/52]	Loss_D: 0.5261	Loss_G: 4.0998	D(x): 0.7077	D(G(z)): 0.0688 / 0.0370
[16/500][50/52]	Loss_D: 0.4008	Loss_G: 2.8693	D(x): 0.8227	D(G(z)): 0.1676 / 0.0769
[17/500][0/52]	Loss_D: 0.3438	Loss_G: 4.6403	D(x): 0.7387	D(G(z)): 0.0130 / 0.0175
[17/500][50/52]	Loss_D: 0.3986	Loss_G: 3.9581	D(x): 0.8327	D(G(z)): 0.1154 / 0.0271
[18/500][0/52]	Loss_D: 0.6578	Loss_G: 6.4563	D(x): 0.9724	D(G(z)): 0.4237 / 0.0023
[18/500][50/52]	Loss_D: 0.5940	Loss_G: 3.6340	D(x): 0.7813	D(G(z)): 0.2487 / 0.0425
[19/500][0/52]	Loss_D: 1.5454	Loss_G: 7.2174	D(x): 0.9693	D(G(z)): 0.6975 / 0.0017
[19/500][50/52]	Loss_D: 0.5596	Loss_G: 3.3235	D(x): 0.7814	D(G(z)): 0.2200 / 0.0477
[20/500][0/52]	Loss_D: 0.5638	Loss_G: 3.9917	D(x): 0.7086	D(G(z)): 0.0452 / 0.0372
[20/500][50/52]	Loss_D: 0.7449	Loss_G: 5.4144	D(x): 0.9654	D(G(z)): 0.4558 / 0.0064
[21/500][0/52]	Loss_D: 0.9263	Loss_G: 5.7101	D(x): 0.9555	D(G(z)): 0.5042 / 0.0050
[21/500][50/52]	Loss_D: 0.8426	Loss_G: 6.0013	D(x): 0.9207	D(G(z)): 0.4708 / 0.0034
[22/500][0/52]	Loss_D: 1.3522	Loss_G: 0.6255	D(x): 0.4254	D(G(z)): 0.0791 / 0.6037
[22/500][50/52]	Loss_D: 0.7134	Loss_G: 2.1042	D(x): 0.6875	D(G(z)): 0.1652 / 0.2156
[23/500][0/52]	Loss_D: 0.5915	Loss_G: 4.2501	D(x): 0.8045	D(G(z)): 0.2423 / 0.0202
[23/500][50/52]	Loss_D: 0.7893	Loss_G: 2.0792	D(x): 0.5731	D(G(z)): 0.0698 / 0.1469
[24/500][0/52]	Loss_D: 0.9235	Loss_G: 7.5673	D(x): 0.9507	D(G(z)): 0.5237 / 0.0009
[24/500][50/52]	Loss_D: 0.5954	Loss_G: 3.4229	D(x): 0.8244	D(G(z)): 0.2803 / 0.0395
[25/500][0/52]	Loss_D: 0.6587	Loss_G: 3.4463	D(x): 0.6312	D(G(z)): 0.0294 / 0.0565
[25/500][50/52]	Loss_D: 0.4743	Loss_G: 2.9469	D(x): 0.8267	D(G(z)): 0.2268 / 0.0563
[26/500][0/52]	Loss_D: 0.5389	Loss_G: 5.2848	D(x): 0.8833	D(G(z)): 0.2999 / 0.0060
[26/500][50/52]	Loss_D: 1.2825	Loss_G: 7.1472	D(x): 0.9506	D(G(z)): 0.6116 / 0.0013
[27/500][0/52]	Loss_D: 0.8522	Loss_G: 4.9616	D(x): 0.9632	D(G(z)): 0.4579 / 0.0103
[27/500][50/52]	Loss_D: 0.5007	Loss_G: 3.4028	D(x): 0.8049	D(G(z)): 0.2115 / 0.0392
[28/500][0/52]	Loss_D: 0.5336	Loss_G: 5.2249	D(x): 0.9316	D(G(z)): 0.3265 / 0.0073
[28/500][50/52]	Loss_D: 0.7015	Loss_G: 5.4991	D(x): 0.9652	D(G(z)): 0.4363 / 0.0057
[29/500][0/52]	Loss_D: 0.6323	Loss_G: 5.2936	D(x): 0.9684	D(G(z)): 0.3552 / 0.0092
[29/500][50/52]	Loss_D: 0.4024	Loss_G: 5.2192	D(x): 0.7376	D(G(z)): 0.0365 / 0.0149
[30/500][0/52]	Loss_D: 1.0684	Loss_G: 5.5805	D(x): 0.9773	D(G(z)): 0.5452 / 0.0067
[30/500][50/52]	Loss_D: 0.5981	Loss_G: 2.1512	D(x): 0.7285	D(G(z)): 0.2013 / 0.1677
[31/500][0/52]	Loss_D: 0.4392	Loss_G: 3.6991	D(x): 0.7129	D(G(z)): 0.0252 / 0.0430
[31/500][50/52]	Loss_D: 0.2872	Loss_G: 3.4974	D(x): 0.8302	D(G(z)): 0.0815 / 0.0478
